City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Uvira,CD,75.63,scattered clouds,-3.4067,29.1458,Hotel Suzana
8,Rikitea,PF,75.0,scattered clouds,-23.1203,-134.9692,People ThankYou
12,Mount Vernon,US,80.98,scattered clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
15,Albany,US,75.09,overcast clouds,42.6001,-73.9662,
16,Sao Filipe,CV,79.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
20,Namatanai,PG,81.23,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
25,Mecca,SA,85.91,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
27,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
30,Ambovombe,MG,77.52,clear sky,-25.1667,46.0833,RELAHARA
31,Ugoofaaru,MV,81.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
37,Nioro,GM,84.06,overcast clouds,13.35,-15.75,
44,Miri,MY,77.85,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
49,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
51,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
52,Kapaa,US,79.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
57,Vanimo,PG,77.77,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
66,Georgetown,MY,82.33,overcast clouds,5.4112,100.3354,Cititel Penang
71,Tual,ID,82.53,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
72,Port Blair,IN,80.15,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
74,Marzuq,YE,78.93,few clouds,14.4,46.4667,
78,Vaini,TO,75.47,overcast clouds,-21.2,-175.2,Keleti Beach Resort
80,Xicotencatl,MX,79.72,overcast clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
88,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
94,Cukai,MY,78.48,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
95,Lompoc,US,89.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
102,Faanui,PF,80.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Bandraboua,YT,78.48,clear sky,-12.7044,45.1223,HASSANI Mikidachi
108,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
115,Salinopolis,BR,84.45,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
121,Ontario,US,88.29,clear sky,34.0633,-117.6509,American Inn
122,Cravo Norte,CO,86.63,heavy intensity rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
124,Gustavo Diaz Ordaz,MX,75.88,overcast clouds,26.2333,-98.5833,Chikas En El Hotel
126,Brigantine,US,83.32,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
129,Gigmoto,PH,78.94,few clouds,13.7796,124.39,Cj's Travellers Inn
132,Bengkulu,ID,77.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Westport,US,77.76,few clouds,41.1415,-73.3579,The Westport Inn
148,Ambon,ID,81.16,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
153,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
155,Awbari,LY,76.14,clear sky,26.5921,12.7805,فندق أوباري
162,Ambulu,ID,77.47,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
164,Jizan,SA,88.03,few clouds,17.3333,42.6667,شهدان. ابوالحجر
165,Samarai,PG,80.6,scattered clouds,-10.6167,150.6667,Nuli Sapi
166,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
167,Sibu,MY,75.67,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
168,Biak,ID,77.11,scattered clouds,-0.9131,122.8766,Penginapan Kim
173,Katherine,AU,82.72,few clouds,-14.4667,132.2667,Pine Tree Motel
177,Caravelas,BR,79.25,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
181,Fremont,US,84.0,clear sky,37.5483,-121.9886,All Suites Islander Motels
184,Ixtapa,MX,86.23,light rain,20.7,-105.2,Hotel Plaza Providencia
185,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
188,Salalah,OM,78.51,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
189,Poum,NC,75.31,broken clouds,-20.2333,164.0167,Gîte kajeon
190,Kalmunai,LK,81.73,overcast clouds,7.4167,81.8167,VS Villa
191,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
192,Ledyard,US,75.07,broken clouds,41.4398,-72.0142,Stonecroft Country Inn
196,Bhongir,IN,75.38,light rain,17.5108,78.8889,Hotel Vivera
198,Palmares,BR,80.51,overcast clouds,-8.6833,-35.5917,Destak Hotel Residence
200,Marsh Harbour,BS,81.19,few clouds,26.5412,-77.0636,Abaco Beach Resort
203,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
212,Tanda,IN,80.8,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
215,Bethel,US,76.42,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
218,Tori Fatehpur,IN,82.54,scattered clouds,25.45,79.1333,Jain Dharamshala
220,Filadelfia,US,83.17,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
221,Isangel,VU,75.22,moderate rain,-19.55,169.2667,Tanna Lodge
224,Daru,PG,78.31,overcast clouds,-9.0763,143.2092,Daru Lodge
228,Pangai,TO,77.47,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
230,Honiara,SB,75.67,broken clouds,-9.4333,159.95,Heritage Park Hotel
231,Varzelandia,BR,85.64,overcast clouds,-15.7014,-44.0275,Pousada Portal da Cidade
238,Coahuayana,MX,88.47,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
242,Auki,SB,75.65,overcast clouds,-8.7676,160.7034,Auki Motel
248,Sinnamary,GF,86.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
252,Seybaplaya,MX,83.28,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
253,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
258,Renukut,IN,78.21,moderate rain,24.2,83.0333,Sony Service Center
262,Cururupu,BR,86.85,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
270,Victoria,HK,75.25,few clouds,22.2855,114.1577,Mini Hotel Central
273,Kasaragod,IN,76.26,heavy intensity rain,12.5,75.0,Thalathoor Heritage
276,Aquin,HT,84.54,overcast clouds,18.2833,-73.4,Asheev Beach
281,Santa Cruz De La Palma,ES,76.14,volcanic ash,28.6835,-17.7642,H10 Taburiente Playa
283,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
288,Bairiki,KI,81.91,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
296,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
298,Touros,BR,83.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
299,Ewa Beach,US,80.02,broken clouds,21.3156,-158.0072,Uncle Junior Robert
302,Barao De Melgaco,BR,88.32,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
303,Kualakapuas,ID,77.16,broken clouds,-3.0091,114.3876,Guest House Izonk
304,Edd,ER,87.64,overcast clouds,13.9297,41.6925,
305,Monrovia,LR,82.17,overcast clouds,6.3005,-10.7969,Sunset Inn
306,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
307,Dingle,PH,75.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
311,Camocim,BR,88.21,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
312,Manaure,CO,84.92,light rain,11.7751,-72.4445,Hotel Palaaima
316,Lorena,BR,77.54,overcast clouds,-22.7308,-45.1247,Hotel Guarany
317,Kailua,US,80.08,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
324,Adrar,MR,89.2,clear sky,20.5022,-10.0711,
325,Road Town,VG,88.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
326,Thinadhoo,MV,83.23,overcast clouds,0.5333,72.9333,
328,Palmer,US,75.61,clear sky,42.1584,-72.3287,Wedgewood Motel
332,San Policarpo,PH,78.75,few clouds,12.1791,125.5072,Agapita M. Nicart
336,Agadez,NE,83.05,clear sky,19.75,10.25,
337,Quang Ngai,VN,78.21,heavy intensity rain,15.1167,108.8,Central Hotel
339,Guerrero Negro,MX,83.64,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
340,Kendari,ID,77.25,overcast clouds,-3.945,122.4989,Hotel Wixel
343,Riyadh,SA,84.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
346,Portobelo,PA,80.04,overcast clouds,9.55,-79.65,Scuba Portobelo
354,Bathsheba,BB,85.69,broken clouds,13.2167,-59.5167,Atlantis Hotel
356,Tura,IN,75.87,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
365,Laguna,US,85.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
366,Abu Zabad,SD,86.72,few clouds,12.35,29.25,حامد محمد نور
368,San Andres,CO,84.24,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
371,San Patricio,US,75.92,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
374,Miranda,CO,80.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
375,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
380,Ishigaki,JP,78.76,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
383,Pimenta Bueno,BR,80.4,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
392,Nisia Floresta,BR,83.35,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
394,Boende,CD,75.25,broken clouds,-0.2167,20.8667,
397,Sur,OM,80.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
398,Beira,MZ,79.77,few clouds,-19.8436,34.8389,Beira Terrace Hotel
401,Key West,US,84.0,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
404,Tabou,CI,79.03,clear sky,4.423,-7.3528,hotêl doufoulougou
416,Paragominas,BR,84.04,light rain,-2.9667,-47.4833,INOVA
421,Sola,VU,80.46,overcast clouds,-13.8833,167.55,Leumerus Bungalows
427,Takoradi,GH,79.66,clear sky,4.8845,-1.7554,Raybow International Hotel
428,Padang,ID,79.14,overcast clouds,-0.9492,100.3543,Mercure Padang
430,San Quintin,MX,77.61,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
433,Barentu,ER,79.3,few clouds,15.1139,37.5928,
447,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
448,Ukiah,US,81.66,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
449,Bandarbeyla,SO,78.53,overcast clouds,9.4942,50.8122,JABIR HOTEL
453,Edgewater,US,89.69,scattered clouds,28.9889,-80.9023,Islander Beach Resort
455,Malakal,SS,75.83,overcast clouds,9.5334,31.6605,Nile Palace Hotel
457,Catamarca,AR,76.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
461,Tezu,IN,76.75,overcast clouds,27.9167,96.1667,Circuit House
464,Koungheul,SN,88.75,overcast clouds,13.9833,-14.8,
466,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
470,Pointe Michel,DM,84.42,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
471,Kutum,SD,81.86,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
473,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
474,Ca Mau,VN,76.96,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
475,Puerto Maldonado,PE,75.13,overcast clouds,-12.6,-69.1833,Wasai Hotel
476,Cabedelo,BR,81.12,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
479,Wajir,KE,88.54,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
482,Aitape,PG,78.55,overcast clouds,-3.1374,142.3475,
484,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
486,Port Lavaca,US,75.25,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
491,Avera,US,81.91,few clouds,33.194,-82.5271,
493,Pemangkat,ID,80.65,light rain,1.1667,108.9667,Ramah Kost KITA
496,Wamba,NG,78.62,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
497,Sampit,ID,76.73,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
503,Half Moon Bay,US,84.81,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
506,Rangapara,IN,76.15,overcast clouds,26.8167,92.65,Bidhan
511,Boma,GH,77.63,clear sky,7.0805,-2.1697,Obaatanpa Hotel
512,Birao,CF,79.23,overcast clouds,10.2849,22.7882,
