City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,44.11,52,35,25.43,CL,scattered clouds
1,Constantine,36.365,6.6147,58.59,67,63,3.62,DZ,broken clouds
2,Broken Hill,-31.95,141.4333,52.59,55,5,4.81,AU,clear sky
3,Los Llanos De Aridane,28.6585,-17.9182,72.12,80,20,6.91,ES,volcanic ash
4,Uvira,-3.4067,29.1458,75.63,80,35,1.59,CD,scattered clouds
5,Jamestown,42.097,-79.2353,54.99,87,90,16.11,US,overcast clouds
6,Upernavik,72.7868,-56.1549,20.86,51,41,6.58,GL,scattered clouds
7,Sheridan,44.8333,-106.9173,63.3,36,0,1.99,US,clear sky
8,Rikitea,-23.1203,-134.9692,75.0,79,26,9.62,PF,scattered clouds
9,Hermanus,-34.4187,19.2345,54.9,64,100,12.33,ZA,overcast clouds
10,Thompson,55.7435,-97.8558,42.96,75,40,8.05,CA,scattered clouds
11,Bluff,-46.6,168.3333,51.31,68,100,14.47,NZ,overcast clouds
12,Mount Vernon,40.9126,-73.8371,80.98,74,36,4.0,US,scattered clouds
13,Saldanha,-33.0117,17.9442,57.07,61,55,11.9,ZA,broken clouds
14,Constitucion,-35.3333,-72.4167,60.19,59,16,18.77,CL,few clouds
15,Albany,42.6001,-73.9662,75.09,71,99,1.99,US,overcast clouds
16,Sao Filipe,14.8961,-24.4956,79.34,79,100,13.6,CV,overcast clouds
17,Chokurdakh,70.6333,147.9167,-6.18,100,96,4.5,RU,overcast clouds
18,Bredasdorp,-34.5322,20.0403,52.29,60,100,10.96,ZA,overcast clouds
19,Lebu,-37.6167,-73.65,55.17,72,100,13.65,CL,overcast clouds
20,Namatanai,-3.6667,152.4333,81.23,77,32,9.95,PG,scattered clouds
21,Tuktoyaktuk,69.4541,-133.0374,26.74,79,100,2.95,CA,overcast clouds
22,Ushuaia,-54.8,-68.3,31.66,93,75,36.82,AR,light snow
23,Beringovskiy,63.05,179.3167,33.21,72,100,31.09,RU,overcast clouds
24,Kodiak,57.79,-152.4072,36.9,52,33,2.82,US,scattered clouds
25,Mecca,21.4267,39.8261,85.91,46,0,4.56,SA,clear sky
26,Saint-Augustin,51.226,-58.6502,50.25,57,66,11.14,CA,broken clouds
27,Ponta Do Sol,32.6667,-17.1,75.7,58,83,4.76,PT,broken clouds
28,Sao Francisco De Assis,-29.5503,-55.1311,63.84,78,100,7.58,BR,overcast clouds
29,Mataura,-46.1927,168.8643,48.67,66,11,6.71,NZ,few clouds
30,Ambovombe,-25.1667,46.0833,77.52,60,3,6.15,MG,clear sky
