City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,55.7435,-97.8558,33.96,100,90,6.91
1,Cabo San Lucas,MX,22.8909,-109.9124,79.52,79,72,8.84
2,Port Blair,IN,11.6667,92.75,82.65,80,76,17.63
3,Rikitea,PF,-23.1203,-134.9692,74.61,73,33,3.53
4,Apiai,BR,-24.5094,-48.8425,59.63,97,35,3.29
5,Georgetown,MY,5.4112,100.3354,91.33,62,66,9.22
6,Cape Town,ZA,-33.9258,18.4232,59.11,69,94,7.0
7,Mar Del Plata,AR,-38.0023,-57.5575,52.88,36,40,4.0
8,Berdigestyakh,RU,62.0989,126.6992,22.5,67,100,8.28
9,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,16,13.89
10,Ribeira Grande,PT,38.5167,-28.7,70.36,79,67,12.77
11,Bengkulu,ID,-3.8004,102.2655,83.68,68,97,5.86
12,Barrow,US,71.2906,-156.7887,26.62,80,90,20.71
13,Khatanga,RU,71.9667,102.5,9.37,88,87,5.91
14,Ushuaia,AR,-54.8,-68.3,44.26,39,75,4.61
15,Ostrovnoy,RU,68.0531,39.5131,38.07,78,99,25.5
16,Meadow Lake,US,34.8014,-106.5436,51.31,38,1,14.12
17,Tuktoyaktuk,CA,69.4541,-133.0374,28.65,84,100,6.13
18,Kapaa,US,22.0752,-159.319,78.78,83,75,3.0
19,Hithadhoo,MV,-0.6,73.0833,83.37,77,87,23.11
20,Muros,ES,42.7762,-9.0603,58.84,76,4,2.66
21,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,13.8
22,Dikson,RU,73.5069,80.5464,32.34,99,100,7.09
23,Victoria,HK,22.2855,114.1577,80.33,90,100,1.01
24,Ponta Delgada,PT,37.7333,-25.6667,72.32,94,75,19.57
25,Fairbanks,US,64.8378,-147.7164,30.24,80,75,0.0
26,Bluff,NZ,-46.6,168.3333,50.65,66,50,18.25
27,Ponta Do Sol,PT,32.6667,-17.1,68.72,75,5,2.06
28,Torbay,CA,47.6666,-52.7314,48.76,95,100,5.01
29,Dhamtari,IN,20.7072,81.5497,85.8,72,85,5.91
30,Sao Filipe,CV,14.8961,-24.4956,77.7,75,88,10.36
31,Faanui,PF,-16.4833,-151.75,80.65,72,85,14.03
32,Pingliang,CN,35.5392,106.6861,43.75,88,100,3.71
33,Albany,US,42.6001,-73.9662,60.73,92,86,2.75
34,Bonavista,CA,48.6499,-53.1147,49.12,94,100,37.27
35,Ambon,ID,-3.6954,128.1814,87.94,84,40,6.91
36,Vaini,TO,-21.2,-175.2,78.96,83,40,10.36
37,Hvolsvollur,IS,63.7533,-20.2243,41.81,84,96,7.18
38,Havelock,US,34.8791,-76.9013,68.95,95,99,2.08
39,Mataura,NZ,-46.1927,168.8643,52.57,61,46,7.72
40,Yulara,AU,-25.2406,130.9889,79.56,13,0,4.36
41,Hermanus,ZA,-34.4187,19.2345,55.9,77,62,12.28
42,Klaksvik,FO,62.2266,-6.589,45.52,69,96,28.27
43,Ilulissat,GL,69.2167,-51.1,26.62,93,100,3.44
44,Bagrami,AF,34.4938,69.2743,63.75,7,0,1.54
45,Atuona,PF,-9.8,-139.0333,78.01,78,18,18.9
46,Yellowknife,CA,62.456,-114.3525,38.41,98,1,8.01
47,Valdivia,CL,-39.8142,-73.2459,41.09,90,33,1.48
48,Puerto Ayora,EC,-0.7393,-90.3518,68.45,84,37,9.78
49,Hambantota,LK,6.1241,81.1185,86.83,67,95,21.77
50,Saint George,US,37.1041,-113.5841,56.25,40,1,1.01
51,Busselton,AU,-33.65,115.3333,76.08,43,85,2.62
52,Mikkeli,FI,61.6886,27.2723,43.14,93,90,12.66
53,Yar-Sale,RU,66.8333,70.8333,39.51,87,95,6.31
54,Old Saybrook,US,41.2918,-72.3762,64.98,95,1,3.44
55,Hilo,US,19.7297,-155.09,73.13,91,75,3.44
56,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,100,14.58
57,Sitka,US,57.0531,-135.33,40.64,85,94,4.21
58,General Pico,AR,-35.6566,-63.7568,43.5,30,0,7.94
59,Tuatapere,NZ,-46.1333,167.6833,52.39,67,46,9.66
60,Muli,MV,2.9167,73.5667,83.44,79,74,20.4
61,Camacha,PT,33.0833,-16.3333,65.16,82,20,2.3
62,Hobart,AU,-42.8794,147.3294,59.27,95,75,6.91
63,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.82,93,39,11.3
64,Namibe,AO,-15.1961,12.1522,62.44,90,48,1.43
65,Felanitx,ES,39.4696,3.1483,56.14,73,0,3.02
66,Omboue,GA,-1.5746,9.2618,76.98,88,91,5.01
67,New Norfolk,AU,-42.7826,147.0587,58.91,79,95,2.53
68,Butaritari,KI,3.0707,172.7902,82.58,71,29,16.33
69,Kaitangata,NZ,-46.2817,169.8464,53.67,62,42,3.04
70,Cozumel,MX,20.5083,-86.9458,78.78,94,40,0.0
71,Kasangulu,CD,-4.5911,15.1708,71.94,85,96,1.63
72,Pindushi,RU,62.9152,34.58,37.74,91,58,7.96
73,Asau,RO,46.4333,26.4,42.76,90,100,0.89
74,Arraial Do Cabo,BR,-22.9661,-42.0278,72.37,95,73,20.09
75,Ancud,CL,-41.8697,-73.8203,43.43,77,49,7.05
76,Raga,SS,8.4596,25.678,72.01,91,35,1.19
77,Port Hedland,AU,-20.3167,118.5667,96.85,9,1,14.97
78,Airai,TL,-8.9266,125.4092,75.31,60,82,0.96
79,Nikolskoye,RU,59.7035,30.7861,38.88,82,33,7.49
80,Cidreira,BR,-30.1811,-50.2056,66.33,98,86,8.37
81,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,42,0,25.32
82,Avarua,CK,-21.2078,-159.775,77.05,69,4,2.3
83,Chiplun,IN,17.5333,73.5167,89.53,58,89,2.15
84,Pozzallo,IT,36.7305,14.8499,56.21,62,99,16.11
85,Bethel,US,41.3712,-73.414,63.55,92,1,3.44
86,San Quintin,MX,30.4833,-115.95,65.03,68,0,6.2
87,Valleyview,CA,55.0667,-117.2859,33.84,64,14,8.05
88,Port Alfred,ZA,-33.5906,26.891,63.61,76,100,18.52
89,Kununurra,AU,-15.7667,128.7333,103.98,5,57,8.05
90,Tsumeb,NA,-19.2333,17.7167,65.75,18,0,4.32
91,Norman Wells,CA,65.282,-126.8329,17.64,93,75,2.3
92,Port Elizabeth,ZA,-33.918,25.5701,63.1,76,71,11.05
93,San Andres,CO,12.5847,-81.7006,82.42,83,90,0.0
94,La Ronge,CA,55.1001,-105.2842,35.85,93,75,5.75
95,Hokitika,NZ,-42.7167,170.9667,54.1,67,34,10.0
96,Wright,US,45.1833,-93.9502,46.29,87,1,1.01
97,Jamestown,US,42.097,-79.2353,71.19,95,1,4.0
98,Kavieng,PG,-2.5744,150.7967,85.03,71,40,9.93
99,Paragominas,BR,-2.9667,-47.4833,72.95,87,100,2.35
100,Cherskiy,RU,68.75,161.3,10.18,96,98,5.28
101,Yeniseysk,RU,58.4497,92.1703,34.93,45,71,6.93
102,Cabra,ES,37.4725,-4.4421,60.91,63,97,3.22
103,Kaeo,NZ,-35.1,173.7833,64.33,67,4,6.33
104,Tsurugi,JP,36.45,136.6333,75.25,63,1,7.07
105,Urucara,BR,-2.5364,-57.76,81.72,51,62,2.21
106,Tynda,RU,55.1667,124.7167,25.3,40,69,14.2
107,Castro,BR,-24.7911,-50.0119,59.76,97,5,4.92
108,Bredasdorp,ZA,-34.5322,20.0403,51.28,86,100,6.17
109,Salalah,OM,17.0151,54.0924,80.69,57,0,4.61
110,Kodiak,US,57.79,-152.4072,39.43,67,12,9.46
111,Mayo,US,38.8876,-76.5119,66.94,95,1,0.0
112,Yurimaguas,PE,-5.9,-76.0833,79.95,72,97,1.68
113,Garowe,SO,8.4054,48.4845,82.98,53,85,7.52
114,Mitsamiouli,KM,-11.3847,43.2844,78.39,81,7,10.96
115,Naberera,TZ,-4.2,36.9333,63.37,74,93,9.06
116,Hayden,US,47.766,-116.7866,46.54,85,75,6.91
117,Saint-Philippe,RE,-21.3585,55.7679,80.47,77,38,10.56
118,Kysyl-Syr,RU,63.8986,122.7617,23.05,69,95,7.36
